"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00002076253",0,0,0,0,0,0
"Gm28590",0,0,0,0,0,0
"Gm24547",0,0,0,0,0,0
"ENSMUSG00000103263",0,0,0,0,0,0
"Gm25771",0,0,0,0,0,0
"ENSMUSG00000099451",0,0,2,0,0,0
"ENSMUSG00000104180",0,0,0,0,0,0
"Gm8403",0,0,0,0,0,0
"ENSMUSG00000100405",0,0,0,1,0,0
"ENSMUSG00000100525",0,0,0,0,0,0
"ENSMUSG00000101495",0,0,0,0,0,0
"Cab39",2228,1993,5481,3288,3153,5494
"Itm2c",749,672,1207,738,673,1165
"4933407L21Rik",0,0,0,0,0,0
"ENSMUSG00000099767",0,0,0,0,1,1
"Gpr55",3,1,0,0,0,0
"Dpp10",1,1,0,1,0,0
"ENSMUSG00000102801",0,0,0,0,0,0
"ENSMUSG00000102681",0,0,0,0,0,0
"Gm24791",0,0,0,0,0,0
"ENSMUSG00000104410",0,0,0,0,0,0
"ENSMUSG00000102521",0,0,0,0,0,0
"ENSMUSG00000104205",0,0,2,0,0,0
"ENSMUSG00000102902",0,0,0,0,0,0
"ENSMUSG00000101985",0,0,0,0,0,0
"Gm18875",0,0,0,0,0,0
"ENSMUSG00000102940",0,0,0,0,0,0
"ENSMUSG00000103914",0,0,0,0,0,0
"Gm25578",0,0,0,0,0,0
"ENSMUSG00000101006",0,0,0,0,0,4
"ENSMUSG00000102240",0,0,0,0,0,0
"Ube2w",447,487,796,722,618,646
"ENSMUSG00000102457",3,4,28,9,10,9
"Dnah7a",12,11,34,6,5,13
"Stk17b",947,869,2190,818,730,1427
"ENSMUSG00000102405",0,0,0,0,0,0
"Actr3",3170,2903,4291,3531,3459,3938
"Eloc",2396,2259,3147,3366,3045,3307
"ENSMUSG00000100959",0,1,0,0,0,0
"Slc35f5",642,638,1145,904,863,1268
"Tmem70",557,571,1286,577,571,1101
"ENSMUSG00000101015",0,0,0,0,0,0
"Gpr39",2,0,2,0,4,0
"Ly96",2,3,16,6,6,1
"ENSMUSG00000100093",0,0,1,0,0,1
"Gm5828",67,77,54,100,89,84
"Lypd1",2,0,15,1,0,1
"ENSMUSG00000101640",0,0,5,0,2,0
"ENSMUSG00000104133",0,0,0,0,0,0
"Jph1",272,234,592,97,86,301
